visit_date,url
28/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
28/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
28/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
27/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
27/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
27/Jul/1995,GET /images/USA-logosmall.gif HTTP/1.0
26/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
26/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
26/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
25/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
25/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
25/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
24/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
24/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
24/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
23/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
23/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
23/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
22/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
22/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
22/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
21/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
21/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
21/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
20/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
20/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
20/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
19/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
19/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
19/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
18/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
18/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
18/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
17/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
17/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
17/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
16/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
16/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
16/Jul/1995,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
15/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
15/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
15/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
14/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
14/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
14/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
13/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
13/Jul/1995,GET /htbin/cdt_main.pl HTTP/1.0
13/Jul/1995,GET /htbin/cdt_clock.pl HTTP/1.0
12/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
12/Jul/1995,GET /htbin/cdt_main.pl HTTP/1.0
12/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
11/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
11/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
11/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
10/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
10/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
10/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
09/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
09/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
09/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
08/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
08/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
08/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
07/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
07/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
07/Jul/1995,GET /images/MOSAIC-logosmall.gif HTTP/1.0
06/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
06/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
06/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
05/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
05/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
05/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
04/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
04/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
04/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
03/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
03/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
03/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
02/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
02/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
02/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
01/Jul/1995,GET /images/NASA-logosmall.gif HTTP/1.0
01/Jul/1995,GET /images/KSC-logosmall.gif HTTP/1.0
01/Jul/1995,GET /shuttle/countdown/count.gif HTTP/1.0
