visit_date,visitor,url
28/Jul/1995,pcmas.it.bton.ac.uk,GET /htbin/cdt_clock.pl HTTP/1.0
28/Jul/1995,edams.ksc.nasa.gov,GET /ksc.html HTTP/1.0
28/Jul/1995,edams.ksc.nasa.gov,GET /images/MOSAIC-logosmall.gif HTTP/1.0
27/Jul/1995,edams.ksc.nasa.gov,GET /ksc.html HTTP/1.0
27/Jul/1995,edams.ksc.nasa.gov,GET /images/NASA-logosmall.gif HTTP/1.0
27/Jul/1995,edams.ksc.nasa.gov,GET /images/ksclogo-medium.gif HTTP/1.0
26/Jul/1995,arctic.nad.northrop.com,GET /images/KSC-logosmall.gif HTTP/1.0
26/Jul/1995,arctic.nad.northrop.com,GET /images/launch-logo.gif HTTP/1.0
26/Jul/1995,arctic.nad.northrop.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
25/Jul/1995,edams.ksc.nasa.gov,GET /ksc.html HTTP/1.0
25/Jul/1995,edams.ksc.nasa.gov,GET /images/NASA-logosmall.gif HTTP/1.0
25/Jul/1995,edams.ksc.nasa.gov,GET /images/MOSAIC-logosmall.gif HTTP/1.0
24/Jul/1995,currypc.fpl.msstate.edu,GET /htbin/cdt_main.pl HTTP/1.0
24/Jul/1995,triton,GET /htbin/cdt_main.pl HTTP/1.0
24/Jul/1995,triton,GET /shuttle/countdown/images/countclock.gif HTTP/1.0
23/Jul/1995,currypc.fpl.msstate.edu,GET /htbin/cdt_main.pl HTTP/1.0
23/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-70/sts-70-patch-small.gif HTTP/1.0
23/Jul/1995,piweba4y.prodigy.com,GET /shuttle/missions/sts-70/sts-70-patch-small.gif HTTP/1.0
22/Jul/1995,currypc.fpl.msstate.edu,GET /htbin/cdt_main.pl HTTP/1.0
22/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-70/sts-70-patch-small.gif HTTP/1.0
22/Jul/1995,piweba4y.prodigy.com,GET /shuttle/missions/sts-70/sts-70-patch-small.gif HTTP/1.0
21/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
21/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
21/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
20/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
20/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
20/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
19/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
19/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
19/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
18/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
18/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
18/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
17/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
17/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
17/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
16/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
16/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
16/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
15/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
15/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
15/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
14/Jul/1995,siltb10.orl.mmc.com,GET /images/launch-logo.gif HTTP/1.0
14/Jul/1995,siltb10.orl.mmc.com,GET /images/KSC-logosmall.gif HTTP/1.0
14/Jul/1995,siltb10.orl.mmc.com,GET /history/apollo/images/apollo-logo1.gif HTTP/1.0
13/Jul/1995,rush.internic.net,GET /images/NASA-logosmall.gif HTTP/1.0
13/Jul/1995,rush.internic.net,GET /htbin/cdt_clock.pl HTTP/1.0
13/Jul/1995,miranda.psychol.ucl.ac.uk,GET /htbin/cdt_clock.pl HTTP/1.0
12/Jul/1995,indy.gradient.com,GET /images/NASA-logosmall.gif HTTP/1.0
12/Jul/1995,indy.gradient.com,GET /shuttle/countdown/images/cdtclock.gif HTTP/1.0
12/Jul/1995,indy.gradient.com,GET /htbin/cdt_main.pl HTTP/1.0
11/Jul/1995,bill.ksc.nasa.gov,GET /images/NASA-logosmall.gif HTTP/1.0
11/Jul/1995,bill.ksc.nasa.gov,GET /htbin/cdt_main.pl HTTP/1.0
11/Jul/1995,bill.ksc.nasa.gov,GET /shuttle/countdown/images/cdtclock.gif HTTP/1.0
10/Jul/1995,163.185.36.150,GET /htbin/cdt_clock.pl HTTP/1.0
10/Jul/1995,faure.borland.com,GET /htbin/cdt_clock.pl HTTP/1.0
10/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
09/Jul/1995,piweba4y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
09/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
09/Jul/1995,alyssa.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
08/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
08/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
08/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
07/Jul/1995,morphine.iris.com,GET /icons/menu.xbm HTTP/1.0
07/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
07/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
06/Jul/1995,spidey.cor.epa.gov,GET /icons/menu.xbm HTTP/1.0
06/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
06/Jul/1995,pfizergate.pfizer.com,GET /htbin/cdt_clock.pl HTTP/1.0
05/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
